iata,pref_code,name,lat,lon
AKJ,1,Asahikawa Airport,43.670799,142.447006
AOJ,2,Aomori Airport,40.733777,140.689477
CTS,1,New Chitose Airport,42.774753,141.690414
FSZ,22,Mount Fuji Shizuoka Airport,34.795022,138.190976
FUK,40,Fukuoka Airport,33.585899353027344,130.4510040283203
HIJ,34,Hiroshima Airport,34.4361,132.919006
HKD,1,Hakodate Airport,41.77,140.822006
HND,13,Tokyo Haneda International Airport,35.549678,139.786958
HSG,41,Kyushu Saga International Airport,33.1497,130.302002
IBR,8,Ibaraki Airport,36.181456,140.414434
ISG,47,New Ishigaki Airport,24.396389,124.245
KIJ,15,Niigata Airport,37.954166,139.112189
KIX,27,Kansai International Airport,34.427299,135.244003
KKJ,40,Kitakyushu Airport,33.845901,131.035004
KMI,45,Miyazaki Airport,31.877199,131.449005
KMJ,43,Kumamoto Airport,32.837299,130.854996
KMQ,17,Komatsu Airport / JASDF Komatsu Air Base,36.393407,136.406895
KOJ,46,Kagoshima Airport,31.8034,130.718994
MYJ,38,Matsuyama Airport,33.826893,132.700114
NGO,23,Chubu Centrair International Airport,34.858398,136.804993
NGS,42,Nagasaki Airport,32.916901,129.914001
NRT,12,Narita International Airport,35.76858,140.388714
OBO,1,Tokachi-Obihiro Airport,42.7332992554,143.216995239
OIT,44,Oita Airport,33.479400634799994,131.736999512
OKA,47,Naha International Airport,26.192437,127.639804
OKJ,33,Okayama Momotaro Airport,34.756901,133.854996
SDJ,4,Sendai Airport,38.139702,140.917007
SHI,47,Shimojishima Airport,24.8267,125.144997
SHM,30,Nanki Shirahama Airport,33.6622009277,135.363998413
TAK,37,Takamatsu Airport,34.214963,134.015454
TKS,36,Tokushima Awaodori Airport / JMSDF Tokushima Air Base,34.132559,134.607816
TOY,16,Toyama Kitokito Airport,36.648416,137.187359
UBJ,35,Yamaguchi Ube Airport,33.93,131.279007
UKB,28,Kobe Airport,34.632801,135.223999
YGJ,31,Yonago Kitaro Airport / JASDF Miho Air Base,35.492199,133.235992
