pref_code,month,ICN,GMP,PUS,CJU
26,1,335.4,333.6,314.5,331.9
41,1,245.6,727.8,246.9,726.1
43,1,250.7,707.6,225.4,705.9
37,1,262.0,363.3,344.2,361.6
23,1,299.9,426.0,280.7,424.3
9,1,383.8,391.9,367.4,386.7
19,1,374.6,389.5,427.3,451.8
25,1,340.4,338.6,319.5,336.9
10,1,394.8,392.7,405.8,425.1
4,1,300.3,595.9,549.2,568.4
22,1,298.9,421.1,388.3,489.1
8,1,348.2,384.8,331.8,351.0
47,1,289.1,1418.6,270.2,1416.9
6,1,335.1,582.1,542.7,562.0
30,1,278.0,276.1,257.1,274.4
42,1,254.2,784.1,305.9,782.4
5,1,409.4,743.0,658.8,727.0
33,1,257.6,375.4,356.3,373.7
40,1,236.1,706.7,210.7,705.0
21,1,322.7,424.9,303.5,423.2
2,1,296.9,871.0,524.6,850.1
27,1,292.8,291.0,271.9,289.3
20,1,418.0,467.8,478.6,508.1
44,1,268.1,613.2,297.1,611.5
24,1,293.6,373.3,274.4,371.6
34,1,282.8,508.1,285.3,506.4
1,1,339.2,1124.8,336.6,1102.5
28,1,284.4,282.6,263.5,280.9
12,1,311.8,309.6,298.0,317.2
16,1,336.3,542.7,451.3,559.6
13,1,298.5,296.4,331.4,350.6
11,1,317.1,315.0,335.3,354.5
35,1,267.5,600.3,322.2,598.6
7,1,343.9,530.7,488.3,507.6
17,1,286.7,524.2,437.5,522.5
18,1,297.0,455.3,388.0,453.6
38,1,248.4,489.9,224.5,488.2
29,1,315.6,313.8,294.7,312.1
32,1,255.3,483.9,404.0,482.2
3,1,407.1,755.9,638.4,729.8
31,1,329.1,403.5,384.4,401.8
36,1,260.4,327.4,308.3,325.7
46,1,276.6,793.5,251.8,791.8
15,1,283.2,548.9,534.5,553.7
39,1,324.5,437.7,300.6,436.0
45,1,252.3,705.1,288.4,703.4
14,1,298.0,295.9,344.2,363.4
26,2,335.4,333.6,314.5,331.9
41,2,245.6,727.8,246.9,726.1
43,2,250.7,707.6,225.4,705.9
37,2,262.0,363.3,344.2,361.6
23,2,299.9,426.0,280.7,424.3
