dep,arr,arr_ko,month,flights,pax,dlat,dlon,alat,alon,air_km,air_min
GMP,KIX,간사이,1,372,70106,37.5583,126.791,34.427299,135.244003,835.9541236279953,87.69655927209965
GMP,HND,도쿄 하네다,1,744,156423,37.5583,126.791,35.549678,139.786958,1181.097720836114,113.58232906270854
GMP,KIX,간사이,2,336,68009,37.5583,126.791,34.427299,135.244003,835.9541236279953,87.69655927209965
GMP,HND,도쿄 하네다,2,670,155280,37.5583,126.791,35.549678,139.786958,1181.097720836114,113.58232906270854
GMP,KIX,간사이,3,373,70468,37.5583,126.791,34.427299,135.244003,835.9541236279953,87.69655927209965
GMP,HND,도쿄 하네다,3,744,171997,37.5583,126.791,35.549678,139.786958,1181.097720836114,113.58232906270854
GMP,KIX,간사이,4,402,72951,37.5583,126.791,34.427299,135.244003,835.9541236279953,87.69655927209965
GMP,NGO,나고야,4,42,6434,37.5583,126.791,34.858398,136.804993,946.704469502398,96.00283521267984
GMP,HND,도쿄 하네다,4,720,160054,37.5583,126.791,35.549678,139.786958,1181.097720836114,113.58232906270854
GMP,KIX,간사이,5,434,79978,37.5583,126.791,34.427299,135.244003,835.9541236279953,87.69655927209965
GMP,NGO,나고야,5,62,10373,37.5583,126.791,34.858398,136.804993,946.704469502398,96.00283521267984
GMP,HND,도쿄 하네다,5,742,164499,37.5583,126.791,35.549678,139.786958,1181.097720836114,113.58232906270854
GMP,KIX,간사이,6,420,76168,37.5583,126.791,34.427299,135.244003,835.9541236279953,87.69655927209965
GMP,NGO,나고야,6,60,9552,37.5583,126.791,34.858398,136.804993,946.704469502398,96.00283521267984
GMP,HND,도쿄 하네다,6,720,159300,37.5583,126.791,35.549678,139.786958,1181.097720836114,113.58232906270854
GMP,KIX,간사이,7,430,67423,37.5583,126.791,34.427299,135.244003,835.9541236279953,87.69655927209965
GMP,NGO,나고야,7,62,9191,37.5583,126.791,34.858398,136.804993,946.704469502398,96.00283521267984
GMP,HND,도쿄 하네다,7,743,151519,37.5583,126.791,35.549678,139.786958,1181.097720836114,113.58232906270854
GMP,KIX,간사이,8,413,70118,37.5583,126.791,34.427299,135.244003,835.9541236279953,87.69655927209965
GMP,NGO,나고야,8,74,12029,37.5583,126.791,34.858398,136.804993,946.704469502398,96.00283521267984
GMP,HND,도쿄 하네다,8,744,163287,37.5583,126.791,35.549678,139.786958,1181.097720836114,113.58232906270854
GMP,KIX,간사이,9,479,76571,37.5583,126.791,34.427299,135.244003,835.9541236279953,87.69655927209965
GMP,NGO,나고야,9,120,19081,37.5583,126.791,34.858398,136.804993,946.704469502398,96.00283521267984
