iata,name_ko,name_ko_source,note
AKJ,아사히카와,아사이까와,원자료 비표준 표기
AOJ,아오모리,아오모리,
CTS,삿포로(신치토세),삿보로(치토세),원자료 비표준 표기
FSZ,시즈오카(후지산),시즈오카,정식 명칭 반영
FUK,후쿠오카,후쿠오카,
HIJ,히로시마,히로시마,
HKD,하코다테,하꼬다데,원자료 비표준 표기
HND,도쿄(하네다),도쿄 하네다,
HSG,사가,사가,
IBR,이바라키,이바라키,
ISG,이시가키,이시가키,
KIJ,니가타,니이가타,원자료 비표준 표기
KIX,오사카(간사이),간사이,소재지 병기
KKJ,기타큐슈,키타큐슈,원자료 비표준 표기
KMI,미야자키,미와사키,원자료 오기
KMJ,구마모토,구마모도,원자료 비표준 표기
KMQ,고마쓰,고마스,원자료 비표준 표기
KOJ,가고시마,카고시마,원자료 비표준 표기
MYJ,마쓰야마,마즈야마,원자료 비표준 표기
NGO,나고야(주부),나고야,정식 명칭 반영
NGS,나가사키,나가사키,
NRT,도쿄(나리타),도쿄 나리타,
OBO,오비히로,오비히로,
OIT,오이타,오이다,원자료 비표준 표기
OKA,오키나와(나하),오끼나와,원자료 비표준 표기
OKJ,오카야마,오까야마,원자료 비표준 표기
SDJ,센다이,센다이,
SHI,시모지시마,시모지시마,
SHM,시라하마,시라하마,
TAK,다카마쓰,다가마스,원자료 비표준 표기
TKS,도쿠시마,도쿠시마,
TOY,도야마,도야마,
UBJ,우베(야마구치),우베,소재지 병기
UKB,고베,고베,
YGJ,요나고,요나고,
