pref_code,pref_ja,pref_ko,capital,capital_ko,lat,lon
1,北海道,홋카이도,札幌市,삿포로,43.0642,141.3469
2,青森県,아오모리,青森市,아오모리,40.8246,140.7406
3,岩手県,이와테,盛岡市,모리오카,39.7036,141.1527
4,宮城県,미야기,仙台市,센다이,38.2688,140.8721
5,秋田県,아키타,秋田市,아키타,39.7186,140.1024
6,山形県,야마가타,山形市,야마가타,38.2404,140.3633
7,福島県,후쿠시마,福島市,후쿠시마,37.7503,140.4676
8,茨城県,이바라키,水戸市,미토,36.3418,140.4468
9,栃木県,도치기,宇都宮市,우쓰노미야,36.5658,139.8836
10,群馬県,군마,前橋市,마에바시,36.3907,139.0604
11,埼玉県,사이타마,さいたま市,사이타마,35.857,139.6489
12,千葉県,지바,千葉市,지바,35.605,140.1233
13,東京都,도쿄,新宿区,신주쿠,35.6895,139.6917
14,神奈川県,가나가와,横浜市,요코하마,35.4478,139.6425
15,新潟県,니가타,新潟市,니가타,37.9026,139.0234
16,富山県,도야마,富山市,도야마,36.6953,137.2114
17,石川県,이시카와,金沢市,가나자와,36.5947,136.6256
18,福井県,후쿠이,福井市,후쿠이,36.0652,136.2216
19,山梨県,야마나시,甲府市,고후,35.6642,138.5684
20,長野県,나가노,長野市,나가노,36.6513,138.181
21,岐阜県,기후,岐阜市,기후,35.3912,136.7223
22,静岡県,시즈오카,静岡市,시즈오카,34.9769,138.3831
23,愛知県,아이치,名古屋市,나고야,35.1802,136.9066
24,三重県,미에,津市,쓰,34.7303,136.5086
25,滋賀県,시가,大津市,오쓰,35.0045,135.8686
26,京都府,교토,京都市,교토,35.0211,135.7556
27,大阪府,오사카,大阪市,오사카,34.6863,135.52
28,兵庫県,효고,神戸市,고베,34.6913,135.183
29,奈良県,나라,奈良市,나라,34.6851,135.8329
30,和歌山県,와카야마,和歌山市,와카야마,34.2261,135.1675
31,鳥取県,돗토리,鳥取市,돗토리,35.5039,134.2377
32,島根県,시마네,松江市,마쓰에,35.4723,133.0505
33,岡山県,오카야마,岡山市,오카야마,34.6618,133.935
34,広島県,히로시마,広島市,히로시마,34.3963,132.4596
35,山口県,야마구치,山口市,야마구치,34.1859,131.4706
36,徳島県,도쿠시마,徳島市,도쿠시마,34.0658,134.5593
37,香川県,가가와,高松市,다카마쓰,34.3401,134.0434
38,愛媛県,에히메,松山市,마쓰야마,33.8416,132.7657
39,高知県,고치,高知市,고치,33.5597,133.5311
40,福岡県,후쿠오카,福岡市,후쿠오카,33.6064,130.4181
41,佐賀県,사가,佐賀市,사가,33.2494,130.2988
42,長崎県,나가사키,長崎市,나가사키,32.7448,129.8737
43,熊本県,구마모토,熊本市,구마모토,32.7898,130.7417
44,大分県,오이타,大分市,오이타,33.2382,131.6126
45,宮崎県,미야자키,宮崎市,미야자키,31.9111,131.4239
46,鹿児島県,가고시마,鹿児島市,가고시마,31.5602,130.5581
47,沖縄県,오키나와,那覇市,나하,26.2124,127.6809
