slide_no,evidence_id,source_ledger,grade,checked
2,annual.csv,lineage.csv,재현가능,확인
3,routes.csv,lineage.csv,재현가능,확인
3,airports_jp.csv,lineage.csv,재현가능,확인
3,grid_access.csv,lineage.csv,재현가능,확인
4,grid_cells.csv,lineage.csv,재현가능,확인
4,grid_access.csv,lineage.csv,재현가능,확인
5,panel.csv,lineage.csv,재현가능,확인
6,annual.csv,lineage.csv,재현가능,확인
6,claim-02,claims.csv,확정,확인
6,claim-03,claims.csv,확정,확인
6,claim-04,claims.csv,확정,확인
7,annual.csv,lineage.csv,재현가능,확인
8,panel.csv,lineage.csv,재현가능,확인
8,panel_by_dep.csv,lineage.csv,재현가능,확인
9,routes.csv,lineage.csv,재현가능,확인
10,panel.csv,lineage.csv,재현가능,확인
10,grid_cells.csv,lineage.csv,재현가능,확인
12,grid_access.csv,lineage.csv,재현가능,확인
12,grid_cells.csv,lineage.csv,재현가능,확인
13,japan_pref_simple.geojson,lineage.csv,재현가능,확인
14,panel_by_dep.csv,lineage.csv,재현가능,확인
14,grid_by_dep.csv,lineage.csv,재현가능,확인
